raw_name,standard_name,verification_status,source_url,notes,count
南京银行,南京银行,中,,按原表企业名保留，未命中已知别名库,1
芯片龙头企业,芯片龙头企业,中,,按原表企业名保留，未命中已知别名库,1
深圳某存储外企,深圳某存储外企,中,,按原表企业名保留，未命中已知别名库,1
中国航天科技集团,中国航天科技集团,中,,按原表企业名保留，未命中已知别名库,3
重工,重工,待核实,,企业名过短或匿名化，需人工复核,1
上海电气,上海电气,中,,按原表企业名保留，未命中已知别名库,2
中国五矿 MINMETALS,中国五矿 MINMETALS,中,,按原表企业名保留，未命中已知别名库,1
宝武钢铁集团有限公司,宝武钢铁集团有限公司,中,,按原表企业名保留，未命中已知别名库,1
中国分公司,中国分公司,中,,按原表企业名保留，未命中已知别名库,1
中兴通讯,中兴通讯,中,https://www.zte.com.cn/,常用名称,1
格创东智,格创东智,中,,按原表企业名保留，未命中已知别名库,1
中国海油,中国海油,中,,按原表企业名保留，未命中已知别名库,1
乌鲁木齐银行,乌鲁木齐银行,中,,按原表企业名保留，未命中已知别名库,1
大连船舶重工集团有限公司,大连船舶重工集团有限公司,中,,按原表企业名保留，未命中已知别名库,1
哈尔滨某公司,哈尔滨某公司,中,,按原表企业名保留，未命中已知别名库,1
中国工商银行总行,中国工商银行总行,中,,按原表企业名保留，未命中已知别名库,1
高盛中国,高盛中国,中,,按原表企业名保留，未命中已知别名库,1
博士顿资讯,博士顿资讯,中,,按原表企业名保留，未命中已知别名库,1
中国航天,中国航天,中,,按原表企业名保留，未命中已知别名库,1
大华股份,大华股份,中,,按原表企业名保留，未命中已知别名库,1
阿里云,阿里云,中,,按原表企业名保留，未命中已知别名库,1
HUAWEI,华为,中,https://www.huawei.com/cn/corporate-information,包含华为/HUAWEI关键词,2
中国人寿,中国人寿,中,,按原表企业名保留，未命中已知别名库,2
万科企业股份有限公司,万科企业股份有限公司,中,,按原表企业名保留，未命中已知别名库,1
中国农业银行,中国农业银行,中,,按原表企业名保留，未命中已知别名库,1
中国电信 CHINATELECOM,中国电信 CHINATELECOM,中,,按原表企业名保留，未命中已知别名库,1
习锐汽车,习锐汽车,中,,按原表企业名保留，未命中已知别名库,1
科大讯飞,科大讯飞,中,,按原表企业名保留，未命中已知别名库,3
山东国家应用数学中心,山东国家应用数学中心,中,,按原表企业名保留，未命中已知别名库,1
国家能源集团,国家能源集团,中,,按原表企业名保留，未命中已知别名库,2
中海油,中海油,中,,按原表企业名保留，未命中已知别名库,1
Schlumberger,斯伦贝谢,中,https://www.slb.com/,英文品牌名标准化,1
TCL实业,TCL实业,中,,按原表企业名保留，未命中已知别名库,1
顾家家居,顾家家居,中,,按原表企业名保留，未命中已知别名库,1
东风日产,东风日产,中,,按原表企业名保留，未命中已知别名库,1
东吴证券,东吴证券,中,,按原表企业名保留，未命中已知别名库,1
招商银行,招商银行,中,,按原表企业名保留，未命中已知别名库,4
汇丰银行,汇丰银行,中,,按原表企业名保留，未命中已知别名库,1
同花顺,同花顺,中,,按原表企业名保留，未命中已知别名库,1
某头部国产汽车,某头部国产汽车,中,,按原表企业名保留，未命中已知别名库,1
OBSBOT寻影,OBSBOT寻影,中,,按原表企业名保留，未命中已知别名库,1
华勤技术,华勤技术,中,,按原表企业名保留，未命中已知别名库,1
天响,天响,待核实,,企业名过短或匿名化，需人工复核,1
作业帮,作业帮,中,,按原表企业名保留，未命中已知别名库,2
Tencent腾讯,腾讯,中,https://www.tencent.com/zh-cn/about.html,包含腾讯/Tencent关键词,3
ByteDance字节跳动,字节跳动,中,https://www.bytedance.com/zh/,包含字节/ByteDance关键词,1
中国电科集团十四所,中国电科集团十四所,中,,按原表企业名保留，未命中已知别名库,1
